generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info,num_attacks
1,100000.000000,1.000000,50,95976.642083,4176882.017386,1080.059079,0.427780,0,7,0,0.000000,2000
1,67036.000000,32964.000000,20,81501.965823,76950203.286927,1591.739876,0.317711,0,7,1,0.003767,1700
2,71430.000000,28570.000000,23,90170.747278,7674811.418409,1474.127341,0.262987,0,7,1,0.010699,1730
3,80338.000000,19662.000000,30,90839.767860,25327148.465514,1563.664893,0.232095,0,7,1,0.003033,1800
4,86476.000000,13524.000000,34,88108.415318,3358561.252562,1260.481433,0.285170,0,7,1,0.003233,1840
5,69045.000000,30955.000000,21,81887.633630,55313551.630886,1647.728732,0.225512,0,7,1,0.004400,1710
6,78755.000000,21245.000000,28,80768.843159,107744704.969577,1389.424291,0.239633,0,7,1,0.003723,1780
7,100000.000000,1.000000,50,93297.310984,3180815.322335,1163.569647,0.317460,0,7,0,0.000000,2000
8,64168.000000,35832.000000,14,80870.300203,95334189.074668,1667.521106,0.322852,0,7,1,0.004798,1640
9,64623.000000,35377.000000,17,79235.700115,172682591.261949,1492.729276,0.307688,0,6,1,0.004338,1670
10,62437.000000,37563.000000,11,68837.772139,319768054.514048,1448.794889,0.337082,0,6,1,0.002654,1617
11,61116.000000,38884.000000,14,76923.785543,106987776.667164,1878.510101,0.261858,1,6,1,0.006909,1640
12,71950.000000,28050.000000,23,79033.212077,72044389.606356,1453.606318,0.328700,1,6,1,0.002381,1737
13,66484.000000,33516.000000,19,79515.788347,100960733.799335,1559.637096,0.300088,1,6,1,0.008810,1690
14,66963.000000,33037.000000,18,75588.424461,109507165.910928,1377.311926,0.336768,1,6,1,0.003723,1680
15,72276.000000,27724.000000,22,77369.281364,84949716.545068,1503.716252,0.226262,1,6,1,0.003740,1720
16,64893.000000,35107.000000,21,79881.770086,80512869.403174,1645.767665,0.331292,1,6,2,0.003735,1710
17,72889.000000,27111.000000,25,91349.099438,29467935.084903,1626.532130,0.205986,1,6,1,0.002889,1750
18,78097.000000,21903.000000,30,89590.074318,11139531.835495,1445.142257,0.246253,1,6,1,0.003048,1800
19,64109.000000,35891.000000,17,73028.655691,121637044.995252,1681.980337,0.380788,1,6,1,0.002534,1670
20,74778.000000,25222.000000,23,86900.446613,25207678.667791,1618.813634,0.363462,1,6,1,0.002546,1730
21,66565.000000,33435.000000,20,75438.162236,77225104.516337,1587.013638,0.215719,1,6,2,0.003504,1700
22,63938.000000,36062.000000,16,75566.727750,122070393.895262,1940.624095,0.238768,1,6,1,0.005737,1660
23,69472.000000,30528.000000,21,81375.385542,105232971.915289,1554.511550,0.237155,1,6,1,0.003564,1710
24,59198.000000,40802.000000,10,79129.338098,17805559.394176,2243.853667,0.381682,1,6,1,0.006220,1600
25,60171.000000,39829.000000,17,71094.383403,130327153.101288,1489.688062,0.293013,1,6,1,0.007315,1670
26,98194.000000,1806.000000,49,92481.268373,2604922.344398,1247.561939,0.318374,1,6,0,0.003376,1990
27,83168.000000,16832.000000,38,88086.227770,1783331.613949,1241.107050,0.278294,1,6,1,0.003443,1880
28,80492.000000,19508.000000,32,218869.350086,851297961.111280,2182.195726,0.513274,1,6,1,0.011130,1820
29,80292.000000,19708.000000,27,224345.903496,1170077365.086718,2553.399135,0.364461,1,6,1,0.020494,1770
