generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info,num_attacks
1,54944.000000,45056.000000,6,24750.306277,604063191.733477,256.227328,4.533529,5,3,1,0.005352,49
1,50901.000000,49099.000000,5,21799.548188,652065588.636288,278.839837,5.198769,5,3,1,0.013310,54
2,63883.000000,36117.000000,13,50939.876161,312844662.298812,1169.756502,4.113135,5,3,1,0.011214,40
3,80038.000000,19962.000000,27,222744.384520,1917522743.766840,2273.496769,0.578888,7,3,1,0.011362,23
4,84119.000000,15881.000000,36,223691.966323,1448284320.105818,1952.970546,0.585273,7,3,1,0.013408,14
5,71322.000000,28678.000000,23,217259.680631,1621154564.715665,2791.947905,0.427045,7,3,1,0.013891,27
6,82869.000000,17131.000000,35,231356.751093,1568974243.010714,2403.398987,0.529542,7,3,1,0.013478,15
7,79238.000000,20762.000000,31,223290.524276,1253961997.061745,2537.799741,0.632016,7,3,1,0.025532,19
8,79098.000000,20902.000000,32,217902.477210,1374795805.060743,2247.638564,0.566372,7,3,1,0.009964,18
9,90705.000000,9295.000000,36,206980.289279,1289748545.153276,2206.432239,0.660937,7,3,1,0.011518,14
10,76716.000000,23284.000000,26,194323.159683,907278938.473329,2633.979653,0.707663,7,3,1,0.010840,24
11,77694.000000,22306.000000,27,202299.535742,1943636963.805116,2280.011380,0.587460,6,2,1,0.016356,23
12,75505.000000,24495.000000,28,188332.235403,1684347570.831393,2278.535635,0.582596,6,2,1,0.013952,22
13,81237.000000,18763.000000,32,198030.327448,1486032664.808795,1931.392105,0.699804,6,2,1,0.010941,18
14,73955.000000,26045.000000,29,177543.720159,1379024181.249546,2362.945514,0.715425,6,2,1,0.021666,21
15,83203.000000,16797.000000,34,200099.609765,1449807046.456151,2260.788473,0.641167,6,2,1,0.015443,16
16,87838.000000,12162.000000,40,208805.962243,1509765642.240566,1942.238458,0.663074,6,3,1,0.014957,10
17,74182.000000,25818.000000,24,165535.528424,459874274.579691,2171.696928,0.649000,6,3,2,0.022137,26
18,77086.000000,22914.000000,27,190872.024085,875429386.001804,2448.313921,0.639551,6,3,1,0.025966,23
19,82926.000000,17074.000000,31,180136.878884,939361980.048734,1999.993060,0.781458,6,3,1,0.017833,19
20,82678.000000,17322.000000,34,204785.079838,1120799226.534717,2404.159323,0.627623,6,3,1,0.009965,16
21,78272.000000,21728.000000,30,156453.332796,816083820.617575,1748.450814,0.784627,6,3,1,0.011427,20
22,83220.000000,16780.000000,32,190291.385185,1451284523.499592,1943.542745,0.755514,6,3,1,0.018419,18
23,85486.000000,14514.000000,36,205285.321033,1075969549.810427,2101.040334,0.737191,6,3,1,0.013861,14
24,80964.000000,19036.000000,31,195045.235258,1421790382.152942,2057.848855,0.595445,6,3,1,0.016440,19
25,84367.000000,15633.000000,34,204582.992858,1122032812.606215,2173.805411,0.634777,5,2,1,0.012512,16
26,78450.000000,21550.000000,28,189732.878234,1250014722.941219,2064.025412,0.661236,5,2,1,0.010379,22
27,89414.000000,10586.000000,39,201601.794775,1127281223.030542,1754.409417,0.682856,5,2,1,0.025976,11
28,84213.000000,15787.000000,32,207968.823420,1385408322.174191,2071.785950,0.631789,5,2,1,0.011823,18
29,76968.000000,23032.000000,29,193930.352730,1188307970.950151,2277.467324,0.639466,5,2,1,0.019101,21
30,89786.000000,10214.000000,38,220658.702852,1484963519.785112,1989.390252,0.613949,5,2,3,0.013789,12
31,83530.000000,16470.000000,34,210933.938860,1316107504.434777,2248.289806,0.701097,5,2,1,0.012117,16
32,80881.000000,19119.000000,29,218524.783885,1337225091.551269,2584.992437,0.618391,5,2,3,0.014111,21
33,84725.000000,15275.000000,35,211174.867955,1495941225.510246,2430.340120,0.556705,5,2,1,0.014775,15
34,80626.000000,19374.000000,30,207997.974322,1726506952.870603,2215.631146,0.618159,5,2,1,0.018386,20
35,79120.000000,20880.000000,30,206183.305416,1322138682.745902,2024.236013,0.624502,5,2,1,0.013457,20
36,86060.000000,13940.000000,33,213316.596291,1207004180.438330,2329.541459,0.603105,5,2,1,0.017649,17
37,81426.000000,18574.000000,31,213838.557960,1479762556.916090,2460.131236,0.644074,5,2,1,0.015560,19
38,82299.000000,17701.000000,33,214228.839180,1455086281.993360,2433.494563,0.523275,5,2,1,0.021597,17
39,79864.000000,20136.000000,31,195135.427136,1694484042.149048,1918.804605,0.635118,5,2,1,0.023806,19
40,80445.000000,19555.000000,30,217111.483135,1329538672.409378,2518.449408,0.612231,5,2,1,0.016154,20
41,83256.000000,16744.000000,33,210147.882447,1390625323.816195,2215.507513,0.551372,3,2,1,0.017120,17
42,83938.000000,16062.000000,33,196312.736296,1504690511.064861,1862.322293,0.674489,3,2,3,0.011233,17
43,80654.000000,19346.000000,29,203415.070538,1099923112.907448,2161.444968,0.596081,3,2,1,0.016632,21
44,86391.000000,13609.000000,36,215174.021353,1395885720.957967,2065.155682,0.608082,3,2,1,0.019566,14
45,82827.000000,17173.000000,31,195769.074079,1343694876.661699,2054.278938,0.628536,3,2,1,0.013625,19
46,76783.000000,23217.000000,28,173859.983980,995577026.124418,2284.417445,0.761749,3,2,1,0.015184,22
47,73431.000000,26569.000000,28,176194.697438,1247990175.173014,2258.453028,0.679826,3,2,1,0.016736,22
48,95582.000000,4418.000000,46,203592.984531,1593728913.686610,1800.123145,0.648246,3,2,1,0.012131,4
49,86879.000000,13121.000000,38,211999.708118,1160680426.489989,2046.609325,0.626798,3,2,1,0.017104,12
50,82733.000000,17267.000000,32,167522.955400,863369896.548405,1877.851062,0.835891,3,2,2,0.014084,18
51,76514.000000,23486.000000,26,177291.902480,1186692040.524159,1816.318376,0.729782,3,2,1,0.026709,24
52,76846.000000,23154.000000,23,157736.682638,977842419.640009,1849.364781,0.865896,4,3,1,0.019900,27
53,80015.000000,19985.000000,32,186915.987049,1038426558.969431,2149.900445,0.585093,4,3,2,0.014792,18
