generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,100000.000000,1.000000,50,66418.642110,4852602.334952,928.386576,0.741720,6,3,4,0.000000
1,100000.000000,1.000000,50,67421.164048,2108698.495429,994.722226,0.548140,6,3,4,0.000000
2,100000.000000,1.000000,50,64661.970330,0.000000,1109.446481,0.000000,6,2,4,0.000000
3,100000.000000,1.000000,50,64866.235079,0.000000,1151.696526,0.000000,6,2,4,-0.000000
4,100000.000000,1.000000,50,62839.272389,0.000000,1069.492069,0.000000,6,2,4,0.000000
5,98056.000000,1944.000000,49,62878.407935,0.000000,1094.196968,0.000000,6,2,4,0.000004
6,98043.000000,1957.000000,49,64134.266863,0.000000,1114.906981,0.000000,6,2,4,0.000001
7,98156.000000,1844.000000,49,63908.460219,0.000000,1142.572193,0.000000,6,2,4,0.000003
8,98054.000000,1946.000000,49,64844.777664,0.000000,1151.046445,0.000000,6,2,4,0.000002
9,98004.000000,1996.000000,49,63276.200620,0.000000,1205.118430,0.000000,6,2,4,0.000000
10,100000.000000,1.000000,50,62582.347861,0.000000,1105.460106,0.000000,6,2,4,0.000000
11,96179.000000,3821.000000,48,62551.678228,0.000000,1076.578517,0.000000,6,2,4,0.000005
12,98015.000000,1985.000000,49,63639.667859,0.000000,1098.936316,0.000000,6,2,4,0.000001
13,100000.000000,1.000000,50,64975.851273,0.000000,1110.255502,0.000000,6,2,6,0.000000
14,98049.000000,1951.000000,49,62683.243541,0.000000,1120.098563,0.000000,6,2,4,0.000491
15,100000.000000,1.000000,50,62962.622593,0.000000,1119.554208,0.000000,6,2,4,-0.000000
16,100000.000000,1.000000,50,63507.711246,0.000000,1093.192614,0.000000,6,2,2,0.000000
17,98109.000000,1891.000000,49,63478.431786,0.000000,1116.267792,0.000000,6,2,6,0.000001
18,98028.000000,1972.000000,49,62889.197011,0.000000,1107.618352,0.000000,6,2,4,0.000005
19,95622.000000,4378.000000,47,64276.902349,0.000000,1150.821941,0.000000,6,2,4,0.000278
20,94272.000000,5728.000000,46,64592.510638,0.000000,1162.411708,0.000000,6,2,4,0.000089
21,97852.000000,2148.000000,48,63139.571336,23658.784005,1054.230074,0.000000,6,2,4,0.000078
22,87282.000000,12718.000000,36,62200.260343,166518.962689,1188.069528,0.000000,6,2,4,0.000268
23,80489.000000,19511.000000,32,62715.429962,300976.347890,1178.646351,0.000000,6,2,4,0.000119
24,86052.000000,13948.000000,36,62157.330757,0.000000,1123.334765,0.000000,6,2,4,0.000225
25,95443.000000,4557.000000,47,63997.306718,0.000000,1134.001448,0.000000,6,2,2,0.000041
26,79126.000000,20874.000000,31,64401.710320,0.000000,1275.781817,0.000000,6,2,3,0.000505
27,88371.000000,11629.000000,40,63255.727168,16799.728362,1083.998471,0.000000,6,2,3,0.000123
28,86905.000000,13095.000000,38,64633.112164,568268.778360,1182.000417,0.000000,6,2,4,0.000151
29,96424.000000,3576.000000,47,63376.773450,0.000000,1054.661263,0.000000,6,2,3,0.000103
