generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,50230.000000,49770.000000,6,44013.320306,328598220.564432,1598.959050,0.419271,5,3,1,0.009075
1,56875.000000,43125.000000,12,55009.066612,135307960.829631,1364.453400,0.478880,5,3,1,0.008585
2,58816.000000,41184.000000,6,50158.612140,248279462.846626,1176.285605,0.431866,5,3,1,0.006460
3,60140.000000,39860.000000,5,42365.248179,357811783.906733,939.040232,0.665188,5,3,2,0.007110
4,62309.000000,37691.000000,15,57203.553097,62002646.736907,1184.093952,0.532581,5,3,1,0.010679
5,55679.000000,44321.000000,10,48342.647254,222178177.317496,1135.081786,0.532663,5,3,1,0.006014
6,57364.000000,42636.000000,11,50727.388639,200216740.568098,1288.272886,0.530631,5,3,2,0.016698
7,65261.000000,34739.000000,11,50703.996049,173860723.290162,1110.318851,0.547922,5,3,1,0.009209
8,63113.000000,36887.000000,10,49304.216267,302709852.694993,1090.143308,0.456810,5,3,2,0.010332
9,61910.000000,38090.000000,13,53887.084907,92920307.176592,1286.765962,0.544467,6,4,1,0.007533
10,64666.000000,35334.000000,16,59953.743290,33067104.381716,1277.969609,0.503374,6,4,1,0.005338
11,63239.000000,36761.000000,10,55120.341531,476990580.113063,707.902973,1.373685,6,4,2,0.013005
12,69969.000000,30031.000000,22,77161.164557,90453709.526004,1138.510025,1.204271,6,4,1,0.013298
13,68256.000000,31744.000000,21,66254.923384,93968335.319118,835.133409,1.456856,6,4,2,0.015898
14,69848.000000,30152.000000,21,94493.451224,160672369.511145,1544.158942,1.413517,6,4,1,0.017960
15,65493.000000,34507.000000,10,56009.760472,352911638.156796,744.143940,1.566564,6,4,2,0.011685
16,68768.000000,31232.000000,21,95892.504745,149651305.759611,1569.557622,1.577008,6,4,2,0.021789
17,66082.000000,33918.000000,20,86022.101536,424444237.977293,1073.715921,1.416917,6,4,2,0.015275
18,64412.000000,35588.000000,13,63609.179264,510020782.841102,965.992406,1.354769,6,4,1,0.017027
19,72117.000000,27883.000000,18,90973.488365,77205487.432633,1093.456921,1.257615,6,4,1,0.011117
20,72247.000000,27753.000000,20,77478.324803,117886388.446395,1012.847430,1.221003,6,4,1,0.008985
21,63733.000000,36267.000000,14,66076.476215,283896300.440944,1158.904164,1.122387,6,4,1,0.010713
22,66854.000000,33146.000000,21,69856.420117,112893414.353740,929.252668,1.185606,6,4,1,0.016218
23,71118.000000,28882.000000,22,64110.120747,79934817.034397,837.379082,1.386234,5,3,1,0.011539
24,65070.000000,34930.000000,11,66970.689381,509102201.821075,965.376553,1.179499,5,3,2,0.011711
25,70073.000000,29927.000000,19,75682.428626,161293325.419971,968.022510,1.496196,5,3,1,0.015713
26,72208.000000,27792.000000,21,76807.733702,386779404.811930,880.254933,1.162614,5,3,2,0.007518
27,73136.000000,26864.000000,25,199900.507115,1468150252.400445,2352.129382,0.502805,5,3,2,0.019815
28,91709.000000,8291.000000,39,220998.511322,1793895177.191661,2004.359930,0.488618,5,3,1,0.010932
29,78849.000000,21151.000000,32,213807.624233,1927893587.698267,2419.266562,0.427088,5,3,2,0.018339
30,84033.000000,15967.000000,35,221776.264935,1632802419.020651,2478.607290,0.418874,5,4,1,0.014575
31,83566.000000,16434.000000,33,230697.521312,2123856705.873454,2739.068393,0.441967,5,4,2,0.012889
32,72686.000000,27314.000000,23,217432.138067,1878833386.327736,3172.043999,0.349290,5,4,2,0.034748
33,68810.000000,31190.000000,22,211662.354846,1841186073.506691,3093.950817,0.355881,4,5,2,0.016944
34,72497.000000,27503.000000,26,218722.996054,1818404450.442709,2954.898395,0.428668,4,5,2,0.015835
35,86587.000000,13413.000000,32,231236.535033,1904492045.183496,2403.834650,0.442838,4,5,1,0.020684
36,70875.000000,29125.000000,21,210214.303792,1764010534.783197,3134.433247,0.387431,4,5,2,0.016001
37,71437.000000,28563.000000,21,222195.629881,2020931272.363979,2846.580452,0.339584,4,5,2,0.017430
38,75819.000000,24181.000000,27,223400.492184,2090004872.779301,2859.759592,0.419581,4,5,2,0.017464
39,72524.000000,27476.000000,23,219538.047704,2084683600.682194,2809.317233,0.387353,1,5,3,0.024953
40,81913.000000,18087.000000,32,225406.688698,2056722525.243991,2366.526237,0.447849,1,5,3,0.012224
41,82381.000000,17619.000000,32,226472.869478,2007802923.065344,2392.169731,0.470347,1,5,2,0.021858
42,72859.000000,27141.000000,22,211616.962775,2264720833.242735,2890.159519,0.426666,1,5,2,0.029362
43,71390.000000,28610.000000,25,220711.043976,1818871921.421494,2883.427015,0.374664,1,5,2,0.018394
44,75264.000000,24736.000000,25,215663.278016,1812472703.027999,2906.576010,0.322725,1,5,2,0.021545
45,75670.000000,24330.000000,23,205059.410474,2002446991.903279,2648.538081,0.393790,1,5,3,0.015143
46,75737.000000,24263.000000,28,226567.017047,1675826997.219777,3447.775797,0.407835,1,5,2,0.014379
47,87838.000000,12162.000000,39,230639.614687,1879596170.925536,2278.254619,0.412452,1,5,2,0.005963
48,63488.000000,36512.000000,18,219207.434703,1960979188.697012,3500.353251,0.304640,1,5,2,0.019955
49,79404.000000,20596.000000,29,225018.416743,1892071178.841801,2821.400188,0.387987,1,4,2,0.024472
50,70207.000000,29793.000000,22,110752.872812,389124564.351393,1992.109093,1.463680,1,7,1,0.006763
51,69304.000000,30696.000000,18,67457.999094,116172147.947066,754.184994,1.326477,1,7,2,0.011997
52,65857.000000,34143.000000,17,57596.271629,616552331.615865,698.710603,1.738122,1,7,2,0.026672
53,79796.000000,20204.000000,28,88614.678347,80560703.016087,986.822851,1.213980,1,7,3,0.005551
54,70656.000000,29344.000000,20,73418.840838,221769653.886176,894.367048,1.307187,1,7,3,0.006976
55,79530.000000,20470.000000,30,70719.909846,462860113.995900,754.331695,2.223219,1,7,2,0.007357
56,70320.000000,29680.000000,19,57266.029419,380269968.221953,714.852800,1.805818,1,6,3,0.011403
57,79111.000000,20889.000000,25,53571.726094,303594645.557217,551.060687,1.975730,1,6,2,0.008344
58,70094.000000,29906.000000,23,55355.309552,322267043.758449,659.699378,1.808235,1,6,2,0.010173
59,64239.000000,35761.000000,18,61285.051228,77301152.329554,715.473952,1.623720,1,6,2,0.014475
60,61706.000000,38294.000000,14,56422.681204,260694454.427420,756.118450,1.488010,1,6,3,0.021632
61,62822.000000,37178.000000,5,49475.194223,776974528.981085,642.851762,1.775293,1,6,2,0.009989
62,69951.000000,30049.000000,18,77200.094117,163103540.983612,817.703948,1.405683,1,6,2,0.022862
63,56415.000000,43585.000000,8,45642.525047,375432203.162821,648.279763,1.706337,1,6,3,0.012603
64,70782.000000,29218.000000,22,52060.321561,208486115.345434,652.042779,2.079946,1,6,3,0.013957
65,72532.000000,27468.000000,22,67131.754023,234021433.791571,825.507303,1.765690,1,6,2,0.011766
66,58890.000000,41110.000000,8,47499.448407,381742968.870398,758.162914,1.591471,1,6,3,0.011906
67,72453.000000,27547.000000,17,53940.795152,535855001.502481,583.865992,2.017403,1,6,3,0.014484
