generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,76708.000000,23292.000000,26,63279.629014,0.000000,1251.412245,0.000000,2,1,1,0.000820
1,77418.000000,22582.000000,28,63220.791443,0.000000,1225.844684,0.000000,2,1,1,0.000631
2,78291.000000,21709.000000,28,64242.265897,921392.742675,1135.439161,0.000000,2,1,1,0.001656
3,80877.000000,19123.000000,28,63590.354179,72746.187037,1166.912556,0.000000,2,1,1,0.000313
4,72572.000000,27428.000000,25,64045.482335,230462.361955,1383.330010,0.000000,2,1,3,0.001331
5,87568.000000,12432.000000,39,62917.273857,0.000000,1122.843532,0.000000,2,1,1,0.000244
6,77853.000000,22147.000000,31,63170.020401,316606.963127,1262.276389,0.000000,2,1,1,0.000579
7,72791.000000,27209.000000,26,60505.275785,619934.100265,1266.449428,0.000000,2,1,1,0.001975
8,75031.000000,24969.000000,27,63521.535631,248032.582494,1250.617725,0.000000,3,1,1,0.001503
9,86801.000000,13199.000000,36,63586.850973,138883.806271,1095.230755,0.000000,3,1,1,0.000273
10,70473.000000,29527.000000,24,63444.646163,427397.713315,1262.487559,0.000000,3,1,1,0.000736
11,98110.000000,1890.000000,49,64022.388342,0.000000,1076.399864,0.000000,3,1,1,0.000004
12,62726.000000,37274.000000,18,49844.959420,58192204.722687,1214.566487,0.000000,3,1,3,0.004445
13,76186.000000,23814.000000,30,61151.014294,1141757.140582,1172.444233,0.000000,3,1,1,0.000897
14,78179.000000,21821.000000,30,63979.885933,0.000000,1240.597667,0.000000,3,1,2,0.000497
15,77753.000000,22247.000000,29,61967.535214,171389.960049,1156.769410,0.000000,3,1,2,0.000836
16,66731.000000,33269.000000,17,59204.437444,5810442.513398,1571.941553,0.000000,3,1,3,0.001753
17,78199.000000,21801.000000,25,61028.487211,3199644.235159,1228.696180,0.000000,3,1,1,0.001797
18,63458.000000,36542.000000,18,57214.865690,13413052.587818,1272.864371,0.000000,3,1,3,0.004356
19,78746.000000,21254.000000,29,61809.171247,0.000000,1223.155633,0.000000,3,1,2,0.003201
20,100000.000000,1.000000,50,63863.898719,0.000000,1132.357271,0.000000,3,1,2,0.000000
21,69193.000000,30807.000000,18,59075.660644,12332104.690042,1453.767446,0.000000,3,1,3,0.001811
22,67302.000000,32698.000000,17,59774.860862,13206741.344309,1341.222075,0.000000,3,1,1,0.001701
23,65519.000000,34481.000000,17,58754.134500,8370376.566442,1543.659895,0.000000,3,1,1,0.001930
24,72105.000000,27895.000000,19,63840.643536,164407.403509,1437.154577,0.000000,3,1,2,0.004000
25,70513.000000,29487.000000,20,62282.000022,197833.498010,1575.366309,0.000000,3,1,3,0.005334
26,100000.000000,1.000000,50,63596.696833,0.000000,1148.182637,0.000000,3,1,2,0.000000
27,66024.000000,33976.000000,15,54521.291807,32260462.205025,1174.736462,0.000000,3,1,1,0.003181
28,71517.000000,28483.000000,22,60552.121284,8669686.366836,1197.979843,0.000000,3,1,3,0.002855
29,98025.000000,1975.000000,49,63097.641004,0.000000,1110.689006,0.000000,3,1,3,0.000004
30,67447.000000,32553.000000,16,58781.099253,20464494.293215,1372.685067,0.000000,3,1,1,0.003069
31,69056.000000,30944.000000,22,63317.069713,102312.404753,1272.811044,0.000000,3,1,3,0.002477
32,68877.000000,31123.000000,21,57278.839901,28261738.327750,1263.944268,0.000000,3,1,1,0.001902
33,73730.000000,26270.000000,24,61689.109033,3825146.317353,1377.299187,0.000000,3,1,3,0.002074
34,77648.000000,22352.000000,23,62271.585144,6192404.882880,1247.438291,0.000000,3,1,1,0.001095
35,73129.000000,26871.000000,21,61671.303343,912461.639834,1218.794249,0.000000,3,1,1,0.002002
36,65394.000000,34606.000000,18,63747.542955,1066720.463525,1686.902887,0.000000,3,1,1,0.011915
37,70556.000000,29444.000000,23,62515.153748,35303088.268109,1344.228068,0.562157,3,1,1,0.007552
38,78381.000000,21619.000000,31,67377.305030,3297020.799104,1168.572529,0.543079,3,1,1,0.003618
39,67590.000000,32410.000000,19,63736.299057,15438179.432959,1400.062182,0.504040,3,1,1,0.005759
40,98317.000000,1683.000000,49,66829.143726,1895946.795171,944.966538,0.559152,3,1,1,0.003267
41,83537.000000,16463.000000,33,66149.142958,5771091.384213,1118.293056,0.453022,3,1,3,0.003258
42,64144.000000,35856.000000,14,59570.758502,28696521.436861,1259.102894,0.505063,3,1,1,0.004942
43,72893.000000,27107.000000,24,66029.749093,6844171.524950,1161.465936,0.640415,3,1,3,0.003158
44,75738.000000,24262.000000,29,66909.166856,11770117.397184,1106.321705,0.454580,3,1,3,0.003890
45,76212.000000,23788.000000,27,63745.314126,2102938.729702,1190.928826,0.523586,3,1,1,0.003396
46,70359.000000,29641.000000,22,64642.636208,11019947.420668,1188.022781,0.629991,3,1,1,0.003726
47,74931.000000,25069.000000,23,60004.758089,30542989.151845,1060.509252,0.531628,3,1,1,0.002009
48,69849.000000,30151.000000,25,66789.918628,4110912.732212,1261.766794,0.432655,3,1,1,0.004555
49,79929.000000,20071.000000,29,61580.131164,13908742.454040,1027.714051,0.694927,3,1,3,0.002970
50,78201.000000,21799.000000,26,62453.251133,9651073.049235,1160.564534,0.418727,3,1,4,0.003435
51,78704.000000,21296.000000,28,63966.730818,10202952.826977,1125.665615,0.596259,3,1,1,0.002209
52,79010.000000,20990.000000,28,65576.560984,6914750.192714,1090.310452,0.606094,3,1,1,0.003970
53,73451.000000,26549.000000,24,62067.808991,30040220.016009,1188.147164,0.528009,3,1,1,0.003060
54,67987.000000,32013.000000,20,59027.768399,50218181.499648,1267.641031,0.442428,3,1,1,0.004423
55,65580.000000,34420.000000,18,60425.348555,11202787.390081,1329.522520,0.482598,3,1,1,0.003458
56,78274.000000,21726.000000,26,58293.381679,7799996.518113,1079.224538,0.469842,2,0,1,0.002700
57,70649.000000,29351.000000,20,56190.145886,63917817.771512,1040.038388,0.629581,2,0,3,0.004882
58,77094.000000,22906.000000,26,63825.255587,5075556.789492,1161.945976,0.483932,2,0,1,0.003184
59,76395.000000,23605.000000,26,62498.762608,30694922.407119,923.829626,0.614277,2,0,3,0.003331
60,76857.000000,23143.000000,23,61248.024188,6652432.106266,999.277754,0.542884,2,0,1,0.002701
61,68079.000000,31921.000000,22,62360.492089,16632668.437377,1278.727023,0.492489,2,0,1,0.002501
62,74235.000000,25765.000000,25,64223.939420,11618495.512390,1242.841689,0.337333,2,0,1,0.003162
63,78914.000000,21086.000000,29,194034.720406,1220658938.919157,2555.964152,0.598601,2,0,2,0.026319
64,82793.000000,17207.000000,34,167839.594843,1100583798.312208,1620.448017,0.807988,2,0,3,0.010337
65,90320.000000,9680.000000,40,189815.962646,1717437704.348061,1975.243258,0.737884,2,0,1,0.010575
66,84146.000000,15854.000000,38,185890.075889,1652468980.301327,2012.104549,0.682479,2,0,2,0.012054
67,88071.000000,11929.000000,39,198529.157786,1649091004.199612,1853.721233,0.659004,2,0,2,0.011752
68,87338.000000,12662.000000,40,178557.151242,977280256.336240,1831.024623,0.723855,2,0,2,0.017673
69,90442.000000,9558.000000,42,193544.314320,1107628714.922233,1761.695224,0.696151,2,0,1,0.014577
70,79584.000000,20416.000000,32,193818.309706,1138003892.942178,2068.823865,0.513023,2,0,2,0.018411
71,85533.000000,14467.000000,35,185646.278163,1069409478.171640,1760.040580,0.722337,2,0,2,0.018966
72,87435.000000,12565.000000,38,183756.480473,2091172855.061682,1690.304360,0.848050,2,0,1,0.026315
73,82274.000000,17726.000000,30,174927.616613,1252293569.727719,1820.743735,0.725832,2,0,2,0.020546
74,89622.000000,10378.000000,40,193111.088269,1092955672.525762,1704.100564,0.682167,2,0,2,0.013905
75,86282.000000,13718.000000,35,172025.264543,1363012573.765814,1861.912079,0.858064,2,0,2,0.012450
76,80043.000000,19957.000000,31,175652.179036,1224627452.483738,1751.545240,0.637667,2,0,2,0.014963
77,86541.000000,13459.000000,35,169220.021354,878692817.465443,1767.157707,0.746350,2,0,2,0.013642
78,76573.000000,23427.000000,30,154840.515056,1189727603.472397,1883.870147,0.707278,2,0,2,0.026475
79,91854.000000,8146.000000,41,182532.363953,1068612765.204031,1696.818404,0.706627,2,0,2,0.026472
80,86734.000000,13266.000000,36,173335.487157,940757324.627929,1895.346034,0.799954,2,0,2,0.010607
81,83006.000000,16994.000000,34,174657.767350,1325709377.514630,1760.621327,0.709235,2,0,1,0.011037
82,89928.000000,10072.000000,41,182628.148713,1468625290.154197,1693.123188,0.726799,1,1,1,0.011848
83,79689.000000,20311.000000,31,179069.175644,1987490570.618123,2169.529465,0.628657,1,1,2,0.019552
84,73658.000000,26342.000000,27,174822.754425,1217058497.575094,2142.133573,0.573946,1,1,2,0.014692
85,81399.000000,18601.000000,33,186790.266346,2059865383.023006,2097.296284,0.585879,1,1,2,0.017713
86,88830.000000,11170.000000,36,193741.989414,1511206695.234869,2160.195779,0.662204,1,1,2,0.011925
87,85171.000000,14829.000000,37,196735.532848,1411993992.841950,2075.495249,0.677269,1,1,1,0.011173
88,84146.000000,15854.000000,36,186900.968072,1919302990.214729,2339.881958,0.652106,1,1,2,0.010189
89,83784.000000,16216.000000,34,177422.383042,1210764720.518469,1884.939173,0.684619,1,1,2,0.015155
90,79493.000000,20507.000000,34,188669.032157,1682072533.073854,2134.461526,0.576893,1,1,2,0.013555
91,85109.000000,14891.000000,35,194909.313224,1752716942.410670,2264.118734,0.573094,1,1,2,0.015514
92,88448.000000,11552.000000,39,184129.850653,1436236165.512743,1756.403937,0.711229,1,1,2,0.009549
93,89072.000000,10928.000000,41,197337.849833,1773442515.295949,1904.019835,0.682260,1,1,1,0.014967
94,86466.000000,13534.000000,36,176113.994901,2199709668.770320,1900.840931,0.705404,1,1,1,0.016402
95,78607.000000,21393.000000,31,177206.188252,1110827008.970045,2015.334204,0.724649,1,1,2,0.011143
96,75540.000000,24460.000000,26,166314.465124,742633559.980327,1867.353120,0.669366,1,1,2,0.012287
97,84120.000000,15880.000000,35,181771.993413,1509410209.891207,2034.033264,0.817042,1,1,2,0.012638
98,81184.000000,18816.000000,32,176378.570131,974484173.294498,1858.031726,0.663406,1,1,2,0.018214
99,81547.000000,18453.000000,31,149991.388782,550229997.486347,1687.885948,0.883819,1,1,2,0.018759
100,81543.000000,18457.000000,34,173977.684873,964012687.378816,1755.872373,0.726955,1,1,2,0.019110
101,77082.000000,22918.000000,27,159505.086366,786794576.116724,2276.794638,0.744643,1,1,2,0.015335
102,73863.000000,26137.000000,26,166127.932774,958750138.272597,2045.048027,0.656010,1,1,2,0.016879
103,83654.000000,16346.000000,31,183096.948531,1887739802.611436,1899.449557,0.772336,1,1,2,0.020871
104,85271.000000,14729.000000,36,235285.897168,1598225923.776082,2485.483080,0.512214,1,1,2,0.007593
105,83823.000000,16177.000000,34,217370.212223,1785089233.175205,2283.975015,0.515623,1,1,2,0.016125
106,84449.000000,15551.000000,35,232819.707952,1893140585.659212,2412.860156,0.520399,1,1,2,0.021469
107,93785.000000,6215.000000,39,235152.124855,1618316471.744485,2263.945134,0.544195,1,1,2,0.016391
108,90115.000000,9885.000000,38,231645.155361,1635697753.454673,2255.669920,0.512742,1,1,2,0.014043
