generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,55101.000000,44899.000000,7,48920.183801,273924598.936713,1461.359938,0.000000,1,7,1,0.004556
1,56052.000000,43948.000000,11,54139.792215,40768024.917583,1688.082297,0.000000,1,7,1,0.004608
2,100000.000000,1.000000,50,62124.281782,0.000000,1088.464768,0.000000,1,7,2,0.000000
3,56372.000000,43628.000000,12,52085.873664,82989499.844673,1661.501372,0.000000,1,9,1,0.006473
4,60949.000000,39051.000000,11,52292.355078,56259632.875924,1258.637410,0.000000,2,8,1,0.004778
5,59115.000000,40885.000000,12,51035.524805,73537602.150047,1380.516183,0.000000,2,8,1,0.002747
6,56273.000000,43727.000000,7,47310.531814,157969486.702438,1448.693667,0.000000,2,8,1,0.005417
7,60912.000000,39088.000000,9,55142.249531,79382060.633970,1542.104727,0.000000,2,8,1,0.004789
8,67113.000000,32887.000000,18,54588.558885,41423863.023931,1249.615285,0.000000,2,8,1,0.003788
9,100000.000000,1.000000,50,63248.241670,0.000000,1085.056453,0.000000,2,8,0,0.000000
10,52948.000000,47052.000000,4,41211.113353,255098496.720117,1538.923149,0.000000,2,8,1,0.003037
11,52578.000000,47422.000000,9,53635.017286,78640663.914295,1744.516131,0.000000,2,8,1,0.007513
12,100000.000000,1.000000,50,62627.037823,0.000000,1085.757598,0.000000,2,8,1,0.000000
13,65991.000000,34009.000000,14,55399.513911,49241842.574011,1305.810391,0.000000,2,8,2,0.002008
14,60263.000000,39737.000000,8,49780.793110,224513699.067054,1436.841508,0.000000,2,8,1,0.003381
15,62398.000000,37602.000000,17,55407.497929,40683896.638199,1391.732641,0.000000,2,8,1,0.002220
16,63643.000000,36357.000000,11,52817.331640,152480225.499762,1304.505064,0.000000,2,8,1,0.004529
17,58340.000000,41660.000000,12,46798.006080,184140673.944463,1285.679461,0.000000,2,5,2,0.002631
18,68507.000000,31493.000000,21,57747.427382,27605660.210704,1233.107283,0.000000,2,5,1,0.001529
19,100000.000000,1.000000,50,61305.759652,0.000000,1050.281196,0.000000,2,5,0,0.000000
20,56477.000000,43523.000000,6,53387.569970,133641529.045948,1816.648962,0.000000,2,5,1,0.005730
21,60155.000000,39845.000000,11,47794.016933,176584105.487228,1244.066735,0.000000,2,5,1,0.003688
22,42628.000000,57372.000000,2,29876.550267,604933798.102059,1098.681189,0.000000,3,6,1,0.009121
23,61387.000000,38613.000000,15,57851.236806,17810308.986169,1654.137192,0.000000,3,6,1,0.004573
24,67601.000000,32399.000000,16,56022.472589,50206669.755126,1187.791008,0.000000,3,6,1,0.004176
25,72664.000000,27336.000000,22,59475.795312,30624696.534642,1184.327624,0.000000,3,5,3,0.005565
26,59085.000000,40915.000000,11,47361.332415,172453278.801459,1356.200891,0.000000,3,5,1,0.003922
27,63346.000000,36654.000000,13,49071.467507,179112186.019529,1002.993510,0.700981,3,4,1,0.003408
28,72704.000000,27296.000000,27,62879.187587,6601108.141787,1075.346034,0.494209,3,4,3,0.003029
29,59224.000000,40776.000000,5,42618.825032,337376704.219966,974.540450,0.543010,3,4,1,0.005802
30,64244.000000,35756.000000,9,47670.570492,281169814.331465,1000.587333,0.504520,3,4,1,0.003910
31,63625.000000,36375.000000,12,51203.787950,167260081.118282,1074.363509,0.477606,3,4,1,0.005283
32,58666.000000,41334.000000,11,52946.938431,128807802.701456,1170.785623,0.621255,3,4,1,0.007075
33,62231.000000,37769.000000,8,45491.997388,326859264.806012,978.990407,0.593834,3,4,2,0.009586
34,98091.000000,1909.000000,49,67042.350592,3750008.253514,975.958360,0.569430,3,4,0,-0.000000
35,69835.000000,30165.000000,18,50206.202641,184567328.057490,957.399224,0.636464,3,4,2,0.007157
36,98477.000000,1523.000000,49,66052.991890,4058368.703024,930.607840,0.575551,3,4,2,0.011324
37,57695.000000,42305.000000,8,41758.557887,254878540.385293,873.457660,0.812946,3,4,1,0.005952
38,60032.000000,39968.000000,10,43313.229067,413701599.963583,967.538480,0.636985,3,4,1,0.003157
39,54414.000000,45586.000000,3,39770.121583,441114436.009455,1042.982826,0.460644,3,4,1,0.004913
40,54781.000000,45219.000000,7,39910.638568,280850267.997873,1050.465049,0.501265,4,6,1,0.006158
41,60031.000000,39969.000000,9,43987.976643,321092507.735542,982.552999,0.525265,4,6,2,0.004993
42,56875.000000,43125.000000,8,45130.734482,233648557.270078,1096.199289,0.629936,4,6,2,0.004689
43,69385.000000,30615.000000,20,52686.490927,175755846.428050,873.131079,0.782894,4,6,1,0.003063
44,69823.000000,30177.000000,21,57619.116048,101177878.877471,1042.766037,0.522620,4,6,1,0.002828
45,62515.000000,37485.000000,12,50989.614201,214608581.949513,1024.798034,0.523043,4,6,1,0.003401
46,77789.000000,22211.000000,31,61205.218688,5264237.855146,921.597465,0.682651,4,6,2,0.003491
47,59447.000000,40553.000000,10,48278.773938,243616206.040398,956.690968,0.621400,4,6,1,0.003012
48,70214.000000,29786.000000,20,55401.827162,98790945.736489,984.046588,0.553106,4,6,2,0.004087
49,58033.000000,41967.000000,3,41270.140174,390374763.965738,1024.015794,0.556196,3,7,1,0.004071
50,66063.000000,33937.000000,14,44029.991331,301831427.865787,897.931898,0.709501,3,7,1,0.003947
51,65557.000000,34443.000000,16,49980.241959,140134933.235173,938.690244,0.604090,3,7,1,0.004801
52,67047.000000,32953.000000,14,54666.685757,163336692.681242,1036.664069,0.509645,3,7,1,0.001955
53,58549.000000,41451.000000,5,42784.625067,357486779.347071,1039.722314,0.568505,3,7,1,0.003555
54,62077.000000,37923.000000,5,46393.480804,315189460.348505,1043.514528,0.541034,3,8,1,0.003114
55,64225.000000,35775.000000,17,64786.505578,5545472.704802,1352.164795,0.371236,3,8,1,0.004939
56,52669.000000,47331.000000,5,46995.522951,391442786.474392,1151.619181,0.553177,3,8,1,0.005118
57,63011.000000,36989.000000,8,48992.681538,294282252.268847,974.803841,0.626682,3,8,1,0.005201
58,71900.000000,28100.000000,15,51947.360653,211855118.991450,952.091078,0.611324,3,8,2,0.005099
59,64783.000000,35217.000000,15,47276.942816,143120621.668747,922.959848,0.662539,3,8,1,0.004002
60,58708.000000,41292.000000,9,44068.480121,260374157.159526,1051.584557,0.542944,3,8,1,0.003890
61,67767.000000,32233.000000,19,52567.914657,142045636.271223,957.864756,0.615422,3,8,3,0.003358
62,68521.000000,31479.000000,20,232891.484596,1882321403.973490,3123.667953,0.483929,3,8,1,0.022104
63,75543.000000,24457.000000,26,231749.395952,2017948643.300118,3218.021303,0.490543,3,8,1,0.023840
64,68784.000000,31216.000000,22,234078.353741,1745979108.121737,3680.675759,0.389533,3,8,1,0.022213
65,74051.000000,25949.000000,26,226583.027592,2548521800.461928,2773.609549,0.516450,3,8,1,0.013910
66,80897.000000,19103.000000,31,233275.674047,1855187476.321260,2599.568541,0.643490,3,8,1,0.013889
67,72509.000000,27491.000000,17,231139.592336,1762135030.821167,3261.700190,0.654279,3,8,1,0.018813
68,74292.000000,25708.000000,25,232952.746520,1867216681.691015,3439.452509,0.462569,3,8,1,0.018935
69,72857.000000,27143.000000,24,228514.736249,1963104753.366902,2761.516935,0.456970,3,8,1,0.011353
70,76856.000000,23144.000000,25,228514.733798,1984664175.716887,2721.034449,0.551827,3,8,1,0.012709
71,78092.000000,21908.000000,28,229482.125222,2138869633.015319,2907.451793,0.458961,3,8,1,0.012605
72,69180.000000,30820.000000,21,229738.482155,2283036022.901315,3243.765025,0.452002,3,8,1,0.025347
73,75810.000000,24190.000000,28,229720.585518,2069849669.147076,3058.822726,0.432261,3,8,1,0.022512
74,71438.000000,28562.000000,20,233087.578651,1497373881.570874,3039.537404,0.599293,3,8,1,0.026535
75,99995.000000,5.000000,49,159810.523891,1663398868.835538,1372.028579,0.865260,3,8,1,0.007355
76,80299.000000,19701.000000,29,148573.870781,812008086.329778,1688.050050,0.780021,3,8,1,0.005133
77,66975.000000,33025.000000,20,83430.263539,112576216.440621,1167.833412,0.948784,3,8,1,0.009991
78,76045.000000,23955.000000,27,121728.576641,453377865.449044,1477.065197,0.754133,3,8,1,0.008858
79,82773.000000,17227.000000,33,132112.573893,739422031.294199,1431.937219,1.209128,2,9,1,0.008954
80,71207.000000,28793.000000,22,86011.271059,591989956.854890,1061.268291,1.114895,2,9,1,0.013385
81,74086.000000,25914.000000,28,101736.673007,345600523.936623,1305.487962,1.407976,2,9,1,0.013751
82,75183.000000,24817.000000,27,105106.216809,189611921.245346,1063.269049,1.056460,2,9,1,0.014860
83,85418.000000,14582.000000,33,97287.874837,164386899.592288,937.481238,1.235153,3,9,1,0.006164
84,80528.000000,19472.000000,30,89919.362205,133333967.926122,1010.831512,1.306993,3,9,2,0.006886
85,74201.000000,25799.000000,25,90540.377618,280969740.255956,1258.858933,1.330897,3,9,1,0.010528
86,81677.000000,18323.000000,33,107791.166357,358840956.015549,984.422341,1.335998,3,9,1,0.009961
87,67558.000000,32442.000000,18,68978.813012,167214602.500326,935.572357,1.069061,3,9,1,0.009384
88,69529.000000,30471.000000,15,69844.109554,666858981.129332,827.322383,1.298006,3,9,1,0.011103
89,73564.000000,26436.000000,22,82388.364822,734809232.765836,982.727287,1.404858,3,9,2,0.011947
90,69653.000000,30347.000000,22,86945.320771,274298622.988375,1164.750750,1.132437,3,9,1,0.015948
91,78653.000000,21347.000000,22,83533.309468,656075736.691090,896.157597,1.261009,3,9,1,0.007686
92,71223.000000,28777.000000,20,75158.454503,844463726.681413,884.948841,1.530703,3,9,1,0.010534
93,76930.000000,23070.000000,27,210390.882070,1620087209.570325,2620.217202,0.478209,2,9,1,0.016937
94,73244.000000,26756.000000,24,205773.794563,1726669257.627320,2789.857083,0.493130,2,9,1,0.021071
95,82063.000000,17937.000000,32,204697.296312,1375985427.020610,2058.882391,0.519797,2,9,2,0.014869
96,78443.000000,21557.000000,29,211086.821712,1739615279.321861,2261.413639,0.516457,2,9,2,0.018424
97,78137.000000,21863.000000,30,207036.707926,1422742690.107510,2322.859606,0.526044,2,9,1,0.032856
98,91266.000000,8734.000000,41,220834.668253,1640405186.445472,1984.785694,0.605578,2,9,1,0.006593
99,75365.000000,24635.000000,28,195400.322336,1627756392.183763,2177.498532,0.669467,2,9,1,0.027652
100,78060.000000,21940.000000,29,187277.948599,1501099126.917779,2008.460256,0.589101,2,9,1,0.014808
101,72752.000000,27248.000000,25,189708.299419,1230616327.224501,2100.672516,0.607219,2,9,2,0.014850
102,73090.000000,26910.000000,25,208228.060296,1383339284.631109,2548.439316,0.617382,2,9,1,0.015304
103,73255.000000,26745.000000,26,185715.632700,1754289868.742070,2132.664629,0.653772,2,9,1,0.025369
104,79660.000000,20340.000000,29,200876.663624,1340960799.763089,2249.863889,0.548850,2,9,1,0.022028
105,71246.000000,28754.000000,24,212817.130547,1638630218.680845,3250.275822,0.501112,2,9,1,0.012994
106,80267.000000,19733.000000,29,196878.826146,1657123174.868152,2051.658624,0.676995,2,9,1,0.018337
107,79671.000000,20329.000000,30,208735.165614,1840604533.497904,2490.496015,0.623386,2,9,1,0.010182
108,81885.000000,18115.000000,32,189846.550513,1409935268.452728,2183.143573,0.616643,2,9,1,0.027407
109,75925.000000,24075.000000,27,193849.523836,1394893407.093972,2274.046429,0.680777,2,9,1,0.012628
110,77586.000000,22414.000000,29,202044.399688,1729763603.084472,2355.518583,0.716805,2,9,1,0.050724
111,76227.000000,23773.000000,28,191468.908469,1867070530.760032,2057.039759,0.617185,2,9,1,0.031674
112,77466.000000,22534.000000,29,205461.851895,1660028635.883707,2279.083599,0.507080,2,9,1,0.040086
113,70336.000000,29664.000000,24,191732.794611,1811033058.522809,2342.832805,0.602409,2,9,1,0.022605
114,73372.000000,26628.000000,24,176311.967512,1654347639.292685,1994.362551,0.692191,2,9,1,0.028270
115,73555.000000,26445.000000,26,192664.410785,1283137142.045706,2399.120544,0.624113,2,9,1,0.016900
116,84542.000000,15458.000000,37,193912.521671,1459932563.363703,1940.172191,0.588000,2,9,1,0.016718
117,80423.000000,19577.000000,31,215697.284357,1553849002.920403,2188.681120,0.511401,2,9,1,0.017545
118,77448.000000,22552.000000,30,197841.004529,1166633697.872535,2468.486249,0.552468,2,9,1,0.016469
119,79539.000000,20461.000000,30,208119.249991,1507666042.546460,2448.253039,0.582355,2,9,1,0.015946
120,74715.000000,25285.000000,28,190899.614528,1154674398.981540,2239.191302,0.634982,2,9,1,0.010613
121,81129.000000,18871.000000,30,201411.921827,1697938571.869787,2258.150180,0.667699,2,8,1,0.024896
122,74964.000000,25036.000000,27,159006.211175,888807543.333413,1947.597819,0.826540,2,8,1,0.029921
123,72682.000000,27318.000000,25,207791.123576,1928340669.791089,2620.493822,0.524771,2,8,1,0.018490
124,83615.000000,16385.000000,34,214971.403750,1730999043.166111,2299.955747,0.451805,2,8,1,0.017534
125,77185.000000,22815.000000,27,220944.774136,1629616226.436783,2896.527247,0.497398,2,8,1,0.019914
126,77140.000000,22860.000000,29,226092.458018,1784681657.003387,2809.593719,0.478551,2,8,1,0.013958
127,79552.000000,20448.000000,30,224752.857358,1700825125.958703,2512.696245,0.569518,2,8,1,0.018824
128,74562.000000,25438.000000,23,190624.871564,1511423630.119941,2262.575664,0.682751,2,8,1,0.015250
129,78140.000000,21860.000000,28,150018.328253,570861975.960238,1458.827732,1.000756,2,8,1,0.023717
130,77209.000000,22791.000000,28,150220.453598,1129546791.610657,1769.520903,0.984456,2,8,1,0.034697
131,74453.000000,25547.000000,26,133830.994989,767600710.211428,1714.884722,0.942686,2,8,1,0.017987
132,72179.000000,27821.000000,24,154576.554664,609222793.675523,1904.463426,0.915147,2,8,1,0.025927
133,75288.000000,24712.000000,23,148474.069305,755567774.432660,1709.632280,0.830789,2,8,1,0.012101
134,78329.000000,21671.000000,28,171213.401429,830186511.633881,2083.708041,1.162642,2,8,1,0.016657
135,70064.000000,29936.000000,22,137036.432620,391066750.146387,2126.109056,1.051965,2,8,1,0.024218
136,78134.000000,21866.000000,31,168492.684708,908349804.227547,1755.773133,0.836493,2,8,1,0.013087
